2015-12-07 18:49:14 -- (0, ['WOinc'], 'Ne')
2015-12-07 18:49:17 -- (23, ['Mec'], 'Ne')
2015-12-07 18:49:17 -- (24, ['Wtone'], 'Ne')
2015-12-07 18:49:17 -- (25, ['Ne'], 'Ne')
2015-12-07 18:49:17 -- (26, ['Spar'], 'Ne')
2015-12-07 18:49:17 -- (27, ['WOinc'], 'Ne')
2015-12-07 18:49:18 -- (0, ['Ne'], 'Ne')
2015-12-07 18:49:18 -- (1, ['Cit'], 'Ne')
2015-12-07 18:49:18 -- (2, ['Nn'], 'Ne')
2015-12-07 18:49:18 -- (3, ['Wform'], 'Ne')
2015-12-07 18:49:18 -- (4, ['Cit'], 'Ne')
2015-12-07 18:49:18 -- (5, ['WOinc'], 'Ne')
2015-12-07 18:49:18 -- (6, ['Um'], 'Ne')
2015-12-07 18:49:18 -- (7, ['WOinc'], 'Ne')
2015-12-07 18:49:18 -- (8, ['Spar'], 'Ne')
2015-12-07 18:49:18 -- (9, ['Cit'], 'Ne')
2015-12-07 18:49:18 -- (10, ['Cit'], 'Ne')
2015-12-07 18:49:18 -- (11, ['Srun'], 'Ne')
2015-12-07 18:49:18 -- (12, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:18 -- (13, ['Um'], 'Ne')
2015-12-07 18:49:18 -- (14, ['WOinc'], 'Ne')
2015-12-07 18:49:18 -- (15, ['WOinc'], 'Ne')
2015-12-07 18:49:18 -- (16, ['Um'], 'Ne')
2015-12-07 18:49:18 -- (17, ['Um'], 'Ne')
2015-12-07 18:49:18 -- (18, ['Ne'], 'Ne')
2015-12-07 18:49:18 -- (19, ['Cit'], 'Ne')
2015-12-07 18:49:18 -- (20, ['Um'], 'Ne')
2015-12-07 18:49:18 -- (21, ['WOadv'], 'Ne')
2015-12-07 18:49:18 -- (22, ['Cit'], 'Ne')
2015-12-07 18:49:18 -- (23, ['Nn'], 'Ne')
2015-12-07 18:49:18 -- (24, ['WOinc'], 'Ne')
2015-12-07 18:49:18 -- (25, ['Nn'], 'Ne')
2015-12-07 18:49:18 -- (26, ['Um'], 'Ne')
2015-12-07 18:49:19 -- (0, ['Ssub'], 'Ne')
2015-12-07 18:49:19 -- (1, ['WOinc'], 'Ne')
2015-12-07 18:49:19 -- (2, ['Wtone'], 'Ne')
2015-12-07 18:49:19 -- (3, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:19 -- (4, ['Wform'], 'Ne')
2015-12-07 18:49:19 -- (5, ['Ne'], 'Ne')
2015-12-07 18:49:19 -- (6, ['WOinc'], 'Ne')
2015-12-07 18:49:19 -- (7, ['Wtone'], 'Ne')
2015-12-07 18:49:19 -- (8, ['WOinc'], 'Ne')
2015-12-07 18:49:19 -- (9, ['V0'], 'Ne')
2015-12-07 18:49:19 -- (10, ['Others'], 'Ne')
2015-12-07 18:49:19 -- (11, ['Npos'], 'Ne')
2015-12-07 18:49:19 -- (12, ['Trans'], 'Ne')
2015-12-07 18:49:19 -- (13, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:19 -- (14, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:19 -- (15, ['Ne'], 'Ne')
2015-12-07 18:49:19 -- (16, ['Others'], 'Ne')
2015-12-07 18:49:19 -- (17, ['WOinc'], 'Ne')
2015-12-07 18:49:19 -- (18, ['Ne'], 'Ne')
2015-12-07 18:49:19 -- (19, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:19 -- (20, ['Ne'], 'Ne')
2015-12-07 18:49:19 -- (21, ['Spar'], 'Ne')
2015-12-07 18:49:19 -- (22, ['Spar'], 'Ne')
2015-12-07 18:49:19 -- (23, ['Spar'], 'Ne')
2015-12-07 18:49:19 -- (24, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (0, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (1, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (2, ['Others'], 'Ne')
2015-12-07 18:49:21 -- (3, ['Nn'], 'Ne')
2015-12-07 18:49:21 -- (4, ['Others'], 'Ne')
2015-12-07 18:49:21 -- (5, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (6, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (7, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (8, ['Others'], 'Ne')
2015-12-07 18:49:21 -- (9, ['Others'], 'Ne')
2015-12-07 18:49:21 -- (10, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (11, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (12, ['Um'], 'Ne')
2015-12-07 18:49:21 -- (13, ['WOinc'], 'Ne')
2015-12-07 18:49:21 -- (14, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (15, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (16, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (17, ['Others'], 'Ne')
2015-12-07 18:49:21 -- (18, ['Others'], 'Ne')
2015-12-07 18:49:21 -- (19, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (20, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (21, ['Others'], 'Ne')
2015-12-07 18:49:21 -- (22, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (23, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (24, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (25, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (26, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (27, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (28, ['Ne'], 'Ne')
2015-12-07 18:49:21 -- (29, ['Others'], 'Ne')
2015-12-07 18:49:21 -- (30, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (31, ['Trans'], 'Ne')
2015-12-07 18:49:21 -- (32, ['Ne'], 'Ne')
2015-12-07 18:49:23 -- (0, ['Ne'], 'Ne')
2015-12-07 18:49:23 -- (1, ['Um'], 'Ne')
2015-12-07 18:49:23 -- (2, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (3, ['WOinc'], 'Ne')
2015-12-07 18:49:23 -- (4, ['WOinc'], 'Ne')
2015-12-07 18:49:23 -- (5, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (6, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (7, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:23 -- (8, ['WOinc'], 'Ne')
2015-12-07 18:49:23 -- (9, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (10, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (11, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (12, ['Um'], 'Ne')
2015-12-07 18:49:23 -- (13, ['Um'], 'Ne')
2015-12-07 18:49:23 -- (14, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:23 -- (15, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (16, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (17, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (18, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (19, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (20, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (21, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (22, ['WOinc'], 'Ne')
2015-12-07 18:49:23 -- (23, ['Um'], 'Ne')
2015-12-07 18:49:23 -- (24, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (25, ['Mec'], 'Ne')
2015-12-07 18:49:23 -- (26, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (27, ['WOadv'], 'Ne')
2015-12-07 18:49:23 -- (28, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (29, ['WOinc'], 'Ne')
2015-12-07 18:49:23 -- (30, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (31, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (32, ['Cit'], 'Ne')
2015-12-07 18:49:23 -- (33, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (34, ['Nn'], 'Ne')
2015-12-07 18:49:23 -- (35, ['Um'], 'Ne')
2015-12-07 18:49:24 -- (0, ['Trans'], 'Ne')
2015-12-07 18:49:24 -- (1, ['Trans'], 'Ne')
2015-12-07 18:49:24 -- (2, ['Ne'], 'Ne')
2015-12-07 18:49:24 -- (3, ['Trans'], 'Ne')
2015-12-07 18:49:24 -- (4, ['Um'], 'Ne')
2015-12-07 18:49:24 -- (5, ['Others'], 'Ne')
2015-12-07 18:49:24 -- (6, ['Others'], 'Ne')
2015-12-07 18:49:24 -- (7, ['Others'], 'Ne')
2015-12-07 18:49:24 -- (8, ['Others'], 'Ne')
2015-12-07 18:49:24 -- (9, ['Ne'], 'Ne')
2015-12-07 18:49:24 -- (10, ['Others'], 'Ne')
2015-12-07 18:49:24 -- (11, ['Trans'], 'Ne')
2015-12-07 18:49:24 -- (12, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:24 -- (13, ['Pref'], 'Ne')
2015-12-07 18:49:24 -- (14, ['Trans'], 'Ne')
2015-12-07 18:49:24 -- (15, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (0, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (1, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (2, ['Ne'], 'Ne')
2015-12-07 18:49:26 -- (3, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:26 -- (4, ['V0'], 'Ne')
2015-12-07 18:49:26 -- (5, ['Others'], 'Ne')
2015-12-07 18:49:26 -- (6, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (7, ['Wform'], 'Ne')
2015-12-07 18:49:26 -- (8, ['Ne'], 'Ne')
2015-12-07 18:49:26 -- (9, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (10, ['Ne'], 'Ne')
2015-12-07 18:49:26 -- (11, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (12, ['Ne'], 'Ne')
2015-12-07 18:49:26 -- (13, ['Others'], 'Ne')
2015-12-07 18:49:26 -- (14, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (15, ['Um'], 'Ne')
2015-12-07 18:49:26 -- (16, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (17, ['WOadv'], 'Ne')
2015-12-07 18:49:26 -- (18, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (19, ['Um'], 'Ne')
2015-12-07 18:49:26 -- (20, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:26 -- (21, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (22, ['Ne'], 'Ne')
2015-12-07 18:49:26 -- (23, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:26 -- (24, ['Others'], 'Ne')
2015-12-07 18:49:26 -- (25, ['Ne'], 'Ne')
2015-12-07 18:49:26 -- (26, ['Trans'], 'Ne')
2015-12-07 18:49:26 -- (27, ['Ne'], 'Ne')
2015-12-07 18:49:26 -- (28, ['Nn'], 'Ne')
2015-12-07 18:49:26 -- (29, ['Others'], 'Ne')
2015-12-07 18:49:26 -- (30, ['Um'], 'Ne')
2015-12-07 18:49:26 -- (31, ['Others'], 'Ne')
2015-12-07 18:49:26 -- (32, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (0, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (1, ['Others'], 'Ne')
2015-12-07 18:49:27 -- (2, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (3, ['Wform'], 'Ne')
2015-12-07 18:49:27 -- (4, ['Ne'], 'Ne')
2015-12-07 18:49:27 -- (5, ['Um'], 'Ne')
2015-12-07 18:49:27 -- (6, ['Others'], 'Ne')
2015-12-07 18:49:27 -- (7, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (8, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:27 -- (9, ['Others'], 'Ne')
2015-12-07 18:49:27 -- (10, ['Others'], 'Ne')
2015-12-07 18:49:27 -- (11, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (12, ['Ne'], 'Ne')
2015-12-07 18:49:27 -- (13, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (14, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (15, ['WOadv'], 'Ne')
2015-12-07 18:49:27 -- (16, ['Others'], 'Ne')
2015-12-07 18:49:27 -- (17, ['Others'], 'Ne')
2015-12-07 18:49:27 -- (18, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (19, ['Ne'], 'Ne')
2015-12-07 18:49:27 -- (20, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (21, ['Trans'], 'Ne')
2015-12-07 18:49:27 -- (22, ['Ne'], 'Ne')
2015-12-07 18:49:27 -- (23, ['Um'], 'Ne')
2015-12-07 18:49:27 -- (24, ['Others'], 'Ne')
2015-12-07 18:49:27 -- (25, ['WOinc'], 'Ne')
2015-12-07 18:49:27 -- (26, ['Others'], 'Ne')
2015-12-07 18:49:27 -- (27, ['Um'], 'Ne')
2015-12-07 18:49:27 -- (28, ['Others'], 'Ne')
2015-12-07 18:49:27 -- (29, ['Trans'], 'Ne')
2015-12-07 18:49:28 -- (0, ['Others'], 'Ne')
2015-12-07 18:49:28 -- (1, ['Others'], 'Ne')
2015-12-07 18:49:28 -- (2, ['Wform'], 'Ne')
2015-12-07 18:49:28 -- (3, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:28 -- (4, ['Others'], 'Ne')
2015-12-07 18:49:28 -- (5, ['Ne'], 'Ne')
2015-12-07 18:49:28 -- (6, ['Um'], 'Ne')
2015-12-07 18:49:28 -- (7, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:28 -- (8, ['WOadv'], 'Ne')
2015-12-07 18:49:28 -- (9, ['Others'], 'Ne')
2015-12-07 18:49:28 -- (10, ['Ne'], 'Ne')
2015-12-07 18:49:28 -- (11, ['Ne'], 'Ne')
2015-12-07 18:49:28 -- (12, ['Ne'], 'Ne')
2015-12-07 18:49:28 -- (13, ['Ne'], 'Ne')
2015-12-07 18:49:28 -- (14, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:28 -- (15, ['Others'], 'Ne')
2015-12-07 18:49:28 -- (16, ['Ne'], 'Ne')
2015-12-07 18:49:28 -- (17, ['Others'], 'Ne')
2015-12-07 18:49:28 -- (18, ['Ne'], 'Ne')
2015-12-07 18:49:28 -- (19, ['Nn'], 'Ne')
2015-12-07 18:49:28 -- (20, ['Ne'], 'Ne')
2015-12-07 18:49:28 -- (21, ['Others'], 'Ne')
2015-12-07 18:49:28 -- (22, ['Ne'], 'Ne')
2015-12-07 18:49:30 -- (0, ['Vform'], 'Ne')
2015-12-07 18:49:30 -- (1, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (2, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (3, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (4, ['Vform'], 'Ne')
2015-12-07 18:49:30 -- (5, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:30 -- (6, ['Vform'], 'Ne')
2015-12-07 18:49:30 -- (7, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (8, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:30 -- (9, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (10, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (11, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (12, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (13, ['Ne'], 'Ne')
2015-12-07 18:49:30 -- (14, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:30 -- (15, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (16, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:30 -- (17, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (18, ['Ne'], 'Ne')
2015-12-07 18:49:30 -- (19, ['Ne'], 'Ne')
2015-12-07 18:49:30 -- (20, ['Others'], 'Ne')
2015-12-07 18:49:30 -- (21, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (22, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (23, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (24, ['Spar'], 'Ne')
2015-12-07 18:49:30 -- (25, ['WOadv'], 'Ne')
2015-12-07 18:49:30 -- (26, ['Nn'], 'Ne')
2015-12-07 18:49:30 -- (27, ['WOadv'], 'Ne')
2015-12-07 18:49:31 -- (0, ['Ne'], 'Ne')
2015-12-07 18:49:31 -- (1, ['Cit'], 'Ne')
2015-12-07 18:49:31 -- (2, ['Cit'], 'Ne')
2015-12-07 18:49:31 -- (3, ['Mec'], 'Ne')
2015-12-07 18:49:31 -- (4, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:31 -- (5, ['Cit'], 'Ne')
2015-12-07 18:49:31 -- (6, ['Cit'], 'Ne')
2015-12-07 18:49:31 -- (7, ['Nn'], 'Ne')
2015-12-07 18:49:31 -- (8, ['Nn'], 'Ne')
2015-12-07 18:49:31 -- (9, ['Um'], 'Ne')
2015-12-07 18:49:33 -- (0, ['Ne'], 'Ne')
2015-12-07 18:49:33 -- (1, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:33 -- (2, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (3, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (4, ['Mec'], 'Ne')
2015-12-07 18:49:33 -- (5, ['Um'], 'Ne')
2015-12-07 18:49:33 -- (6, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:33 -- (7, ['WOinc'], 'Ne')
2015-12-07 18:49:33 -- (8, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (9, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (10, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (11, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (12, ['Um'], 'Ne')
2015-12-07 18:49:33 -- (13, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:33 -- (14, ['Um'], 'Ne')
2015-12-07 18:49:33 -- (15, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:33 -- (16, ['Ne'], 'Ne')
2015-12-07 18:49:33 -- (17, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (18, ['Srun'], 'Ne')
2015-12-07 18:49:33 -- (19, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:33 -- (20, ['Um'], 'Ne')
2015-12-07 18:49:33 -- (21, ['Mec'], 'Ne')
2015-12-07 18:49:33 -- (22, ['WOinc'], 'Ne')
2015-12-07 18:49:33 -- (23, ['Srun'], 'Ne')
2015-12-07 18:49:33 -- (24, ['Um'], 'Ne')
2015-12-07 18:49:33 -- (25, ['Mec'], 'Ne')
2015-12-07 18:49:33 -- (26, ['Nn'], 'Ne')
2015-12-07 18:49:33 -- (27, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (28, ['Um'], 'Ne')
2015-12-07 18:49:33 -- (29, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:33 -- (30, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (31, ['WOinc'], 'Ne')
2015-12-07 18:49:33 -- (32, ['Nn'], 'Ne')
2015-12-07 18:49:33 -- (33, ['Nn'], 'Ne')
2015-12-07 18:49:33 -- (34, ['Cit'], 'Ne')
2015-12-07 18:49:33 -- (35, ['Pref'], 'Ne')
2015-12-07 18:49:33 -- (36, ['Nn'], 'Ne')
2015-12-07 18:49:33 -- (37, ['Um'], 'Ne')
2015-12-07 18:49:33 -- (0, ['Trans'], 'Ne')
2015-12-07 18:49:33 -- (1, ['Trans'], 'Ne')
2015-12-07 18:49:33 -- (2, ['Ne'], 'Ne')
2015-12-07 18:49:33 -- (3, ['Trans'], 'Ne')
2015-12-07 18:49:33 -- (4, ['Wtone'], 'Ne')
2015-12-07 18:49:33 -- (5, ['Trans'], 'Ne')
2015-12-07 18:49:33 -- (6, ['Ne'], 'Ne')
2015-12-07 18:49:33 -- (7, ['Others'], 'Ne')
2015-12-07 18:49:33 -- (8, ['Trans'], 'Ne')
2015-12-07 18:49:33 -- (9, ['Ne'], 'Ne')
2015-12-07 18:49:33 -- (10, ['Others'], 'Ne')
2015-12-07 18:49:33 -- (11, ['Trans'], 'Ne')
2015-12-07 18:49:34 -- (0, ['Vform'], 'Ne')
2015-12-07 18:49:34 -- (1, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (2, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (3, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (4, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (5, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:34 -- (6, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (7, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (8, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (9, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (10, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (11, ['Vform'], 'Ne')
2015-12-07 18:49:34 -- (12, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (13, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (14, ['Vform'], 'Ne')
2015-12-07 18:49:34 -- (15, ['Vform'], 'Ne')
2015-12-07 18:49:34 -- (16, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (17, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (18, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (19, ['Ne'], 'Ne')
2015-12-07 18:49:34 -- (20, ['Others'], 'Ne')
2015-12-07 18:49:34 -- (21, ['WOadv'], 'Ne')
2015-12-07 18:49:34 -- (22, ['Trans'], 'Ne')
2015-12-07 18:49:36 -- (0, ['Trans'], 'Ne')
2015-12-07 18:49:36 -- (1, ['Others'], 'Ne')
2015-12-07 18:49:36 -- (2, ['Trans'], 'Ne')
2015-12-07 18:49:36 -- (3, ['Trans'], 'Ne')
2015-12-07 18:49:36 -- (4, ['Um'], 'Ne')
2015-12-07 18:49:36 -- (5, ['Others'], 'Ne')
2015-12-07 18:49:36 -- (6, ['Trans'], 'Ne')
2015-12-07 18:49:36 -- (7, ['Wform'], 'Ne')
2015-12-07 18:49:36 -- (8, ['Ne'], 'Ne')
2015-12-07 18:49:36 -- (9, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:36 -- (10, ['Trans'], 'Ne')
2015-12-07 18:49:36 -- (11, ['Trans'], 'Ne')
2015-12-07 18:49:36 -- (12, ['Ne'], 'Ne')
2015-12-07 18:49:36 -- (13, ['Others'], 'Ne')
2015-12-07 18:49:36 -- (14, ['Um'], 'Ne')
2015-12-07 18:49:36 -- (15, ['Others'], 'Ne')
2015-12-07 18:49:36 -- (16, ['Trans'], 'Ne')
2015-12-07 18:49:36 -- (17, ['Trans'], 'Ne')
2015-12-07 18:49:36 -- (18, ['Others'], 'Ne')
2015-12-07 18:49:36 -- (19, ['Ne'], 'Ne')
2015-12-07 18:49:36 -- (20, ['Ne'], 'Ne')
