2015-12-30 17:03:34 -- (0, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (27, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (28, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (29, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (30, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (31, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (32, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (33, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (34, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (35, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (36, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (37, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (38, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (39, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (40, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (41, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (42, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (0, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (1, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (2, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (3, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (4, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (5, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (6, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (7, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (8, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (9, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (10, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (11, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (12, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (13, ['Ne'], 'Ne')
2015-12-30 17:08:29 -- (14, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (0, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (1, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (2, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (3, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (4, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (5, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (6, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (7, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (8, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (9, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (10, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (11, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (12, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (13, ['Ne'], 'Ne')
2015-12-30 17:09:17 -- (14, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (0, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (1, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (2, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (3, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (4, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (5, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (6, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (7, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (8, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (9, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (10, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (11, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (12, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (13, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (14, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (15, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (16, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (17, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (18, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (19, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (20, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (21, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (22, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (23, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (24, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (25, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (26, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (27, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (28, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (29, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (30, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (31, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (32, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (33, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (34, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (35, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (36, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (37, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (38, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (39, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (40, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (41, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (42, ['Ne'], 'Ne')
2015-12-30 17:11:40 -- (43, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (0, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (1, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (2, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (3, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (4, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (5, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (6, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (7, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (8, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (9, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (10, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (11, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (12, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (13, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (14, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (15, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (16, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (17, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (18, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (19, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (20, ['Ne'], 'Ne')
2015-12-30 17:12:50 -- (21, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (0, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (1, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (2, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (3, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (4, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (5, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (6, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (7, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (8, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (9, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (10, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (11, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (12, ['Ne'], 'Ne')
2015-12-30 17:13:35 -- (13, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (0, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (1, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (2, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (3, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (4, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (5, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (6, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (7, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (8, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (9, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (10, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (11, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (12, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (13, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (14, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (15, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (16, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (17, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (18, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (19, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (20, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (21, ['Ne'], 'Ne')
2015-12-30 17:14:47 -- (22, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (0, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (1, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (2, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (3, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (4, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (5, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (6, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (7, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (8, ['Ne'], 'Ne')
2015-12-30 17:15:17 -- (9, ['Ne'], 'Ne')
2015-12-30 17:15:27 -- (0, ['Ne'], 'Ne')
2015-12-30 17:15:27 -- (1, ['Ne'], 'Ne')
2015-12-30 17:15:27 -- (2, ['Ne'], 'Ne')
2015-12-30 17:15:27 -- (3, ['Ne'], 'Ne')
2015-12-30 17:15:53 -- (0, ['Ne'], 'Ne')
2015-12-30 17:15:53 -- (1, ['Ne'], 'Ne')
2015-12-30 17:15:53 -- (2, ['Ne'], 'Ne')
2015-12-30 17:15:53 -- (3, ['Ne'], 'Ne')
2015-12-30 17:15:53 -- (4, ['Ne'], 'Ne')
2015-12-30 17:15:53 -- (5, ['Ne'], 'Ne')
2015-12-30 17:15:53 -- (6, ['Ne'], 'Ne')
2015-12-30 17:15:53 -- (7, ['Ne'], 'Ne')
2015-12-30 17:15:53 -- (8, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (0, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (1, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (2, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (3, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (4, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (5, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (6, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (7, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (8, ['Ne'], 'Ne')
2015-12-30 17:16:22 -- (9, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (0, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (1, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (2, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (3, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (4, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (5, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (6, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (7, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (8, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (9, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (10, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (11, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (12, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (13, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (14, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (15, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (16, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (17, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (18, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (19, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (20, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (21, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (22, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (23, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (24, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (25, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (26, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (27, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (28, ['Ne'], 'Ne')
2015-12-30 17:17:57 -- (29, ['Ne'], 'Ne')
2015-12-30 17:18:16 -- (0, ['Ne'], 'Ne')
2015-12-30 17:18:16 -- (1, ['Ne'], 'Ne')
2015-12-30 17:18:16 -- (2, ['Ne'], 'Ne')
2015-12-30 17:18:16 -- (3, ['Ne'], 'Ne')
2015-12-30 17:18:16 -- (4, ['Ne'], 'Ne')
2015-12-30 17:18:16 -- (5, ['Ne'], 'Ne')
2015-12-30 17:18:16 -- (6, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (0, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (1, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (2, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (3, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (4, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (5, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (6, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (7, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (8, ['Ne'], 'Ne')
2015-12-30 17:18:46 -- (9, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (0, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (1, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (2, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (3, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (4, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (5, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (6, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (7, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (8, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (9, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (10, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (11, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (12, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (13, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (14, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (15, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (16, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (17, ['Ne'], 'Ne')
2015-12-30 17:19:45 -- (18, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (0, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (1, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (2, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (3, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (4, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (5, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (6, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (7, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (8, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (9, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (10, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (11, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (12, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (13, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (14, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (15, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (16, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (17, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (18, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (19, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (20, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (21, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (22, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (23, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (24, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (25, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (26, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (27, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (28, ['Ne'], 'Ne')
2015-12-30 17:21:19 -- (29, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (0, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (1, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (2, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (3, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (4, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (5, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (6, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (7, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (8, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (9, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (10, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (11, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (12, ['Ne'], 'Ne')
2015-12-30 17:22:02 -- (13, ['Ne'], 'Ne')
2015-12-30 17:22:25 -- (0, ['Ne'], 'Ne')
2015-12-30 17:22:25 -- (1, ['Ne'], 'Ne')
2015-12-30 17:22:25 -- (2, ['Ne'], 'Ne')
2015-12-30 17:22:25 -- (3, ['Ne'], 'Ne')
2015-12-30 17:22:25 -- (4, ['Ne'], 'Ne')
2015-12-30 17:22:25 -- (5, ['Ne'], 'Ne')
2015-12-30 17:22:25 -- (6, ['Ne'], 'Ne')
2015-12-30 17:22:25 -- (7, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (0, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (1, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (2, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (3, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (4, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (5, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (6, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (7, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (8, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (9, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (10, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (11, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (12, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (13, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (14, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (15, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (16, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (17, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (18, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (19, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (20, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (21, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (22, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (23, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (24, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (25, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (26, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (27, ['Ne'], 'Ne')
2015-12-30 17:23:57 -- (28, ['Ne'], 'Ne')
2015-12-30 17:24:43 -- (0, ['Ne'], 'Ne')
2015-12-30 17:24:43 -- (1, ['Ne'], 'Ne')
2015-12-30 17:24:43 -- (2, ['Ne'], 'Ne')
2015-12-30 17:24:43 -- (3, ['Ne'], 'Ne')
2015-12-30 17:24:43 -- (4, ['Ne'], 'Ne')
2015-12-30 17:24:43 -- (5, ['Ne'], 'Ne')
2015-12-30 17:24:43 -- (6, ['Ne'], 'Ne')
